,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
1611,0<=X<200,27.0,existing paid,business,3915.0,<100,1<=X<4,4.0,male single,none,2.0,car,36.0,stores,own,1.0,skilled,2.0,yes,yes,bad
1612,0<=X<200,18.99649539569788,delayed previously,new car,2256.5753489924955,100<=X<500,4<=X<7,3.49824769784894,female div/dep/mar,guarantor,2.50175230215106,car,30.4912384892447,bank,own,2.0,skilled,1.0,none,no,bad
1613,0<=X<200,19.78587408349891,existing paid,new car,1288.5117715970841,>=1000,4<=X<7,3.648822840291576,female div/dep/mar,none,2.946468520874728,life insurance,29.54175988204103,stores,rent,1.0,skilled,1.0,none,yes,bad
1614,<0,13.500098695296629,existing paid,new car,732.7503783319704,100<=X<500,<1,4.0,male div/sep,none,2.4999671015677905,no known property,31.49990130470337,stores,own,1.0,unemp/unskilled non res,1.0,none,yes,bad
1615,<0,18.0,critical/order existing credit,new car,3966.0,<100,>=7,1.0,female div/dep/mar,none,4.0,real estate,33.0,bank,rent,3.0,skilled,1.0,yes,yes,bad
1616,no checking,21.275112441775445,delayed previously,business,2576.1484258151436,500<=X<10000,<1,4.0,male single,none,2.183408294516962,no known property,41.55022488355089,bank,own,1.091704147258481,unskilled resident,2.0,none,yes,bad
1617,0<=X<200,12.0,existing paid,new car,888.0,<100,>=7,4.0,male single,none,4.0,car,41.0,bank,own,1.0,unskilled resident,2.0,none,yes,bad
1618,no checking,18.0,delayed previously,furniture/equipment,1808.0,<100,4<=X<7,4.0,female div/dep/mar,none,1.0,real estate,22.0,stores,own,1.0,skilled,1.0,none,yes,bad
1619,<0,36.0,existing paid,new car,1842.0,<100,<1,4.0,female div/dep/mar,none,4.0,car,34.0,stores,own,1.0,skilled,1.0,yes,yes,bad
1620,0<=X<200,27.95625258321456,existing paid,repairs,11848.806438574662,<100,4<=X<7,1.0,female div/dep/mar,none,2.02187370839272,life insurance,30.25312973589336,stores,own,1.34062456946424,skilled,1.0,none,yes,bad
1621,<0,60.0,existing paid,business,7297.0,<100,>=7,4.0,male single,co applicant,4.0,no known property,36.0,stores,rent,1.0,skilled,1.0,none,yes,bad
1622,0<=X<200,9.0,existing paid,radio/tv,1670.0,<100,<1,4.0,female div/dep/mar,none,2.0,car,22.0,stores,own,1.0,skilled,1.0,yes,yes,bad
1623,>=200,31.8820974985779,existing paid,new car,6759.611790250142,>=1000,1<=X<4,2.46273658328593,male div/sep,none,3.0745268334281404,car,50.87874641842059,stores,own,1.5372634167140702,skilled,1.0,none,yes,bad
1624,>=200,24.0,existing paid,new car,947.0,<100,4<=X<7,4.0,male single,none,3.0,no known property,38.0,bank,for free,1.0,skilled,2.0,none,yes,bad
1625,<0,23.421833703709847,existing paid,new car,1285.9911422222117,no known savings,1<=X<4,4.0,female div/dep/mar,guarantor,4.0,life insurance,31.793512037039232,stores,own,1.0,skilled,1.0,none,yes,bad
1626,<0,18.0,existing paid,radio/tv,3190.0,<100,1<=X<4,2.0,female div/dep/mar,none,2.0,real estate,24.0,stores,own,1.0,skilled,1.0,none,yes,bad
1627,>=200,15.95062073726073,critical/order existing credit,education,2162.168735790869,<100,1<=X<4,4.0,male div/sep,none,1.658436789543455,car,28.341563210456545,stores,for free,1.0,skilled,1.0,none,yes,bad
1628,<0,24.0,existing paid,new car,2303.0,<100,>=7,4.0,male single,co applicant,1.0,real estate,45.0,stores,own,1.0,skilled,1.0,none,yes,bad
1629,0<=X<200,15.0,delayed previously,repairs,1512.0,>=1000,1<=X<4,3.0,male mar/wid,none,3.0,life insurance,61.0,,own,2.0,skilled,1.0,none,yes,bad
1630,no checking,48.0,existing paid,business,3914.0,no known savings,1<=X<4,4.0,male div/sep,none,2.0,real estate,38.0,bank,own,1.0,skilled,1.0,none,yes,bad
1631,0<=X<200,9.901463367698419,existing paid,furniture/equipment,956.5960976861376,500<=X<10000,1<=X<4,1.9014633676984185,female div/dep/mar,none,2.6009755784656123,car,28.39902442153439,bank,own,1.9014633676984185,skilled,1.0,none,no,bad
1632,<0,43.8018946963585,all paid,education,7638.354385515095,<100,4<=X<7,2.4664561448490554,female div/dep/mar,guarantor,3.3003157827264165,car,40.73164915879244,bank,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,bad
1633,<0,38.1433300724975,critical/order existing credit,domestic appliance,4290.257994130496,500<=X<10000,1<=X<4,1.6857773429996663,female div/dep/mar,none,4.0,car,23.342888671499832,stores,own,1.6571113285001668,skilled,1.0,none,yes,bad
1634,>=200,16.76596599004899,critical/order existing credit,radio/tv,1551.4255255074634,<100,<1,4.0,male single,guarantor,4.0,life insurance,42.687921192373445,bank,for free,1.6028361674959175,skilled,1.6028361674959175,none,yes,bad
1635,0<=X<200,33.21397746815607,existing paid,new car,14458.05654778097,<100,4<=X<7,2.5118876371197816,male single,none,2.9920749085868126,no known property,47.33753562602965,bank,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
1636,0<=X<200,12.392316015961741,existing paid,new car,1080.2999639308325,<100,1<=X<4,3.9346139973397096,male single,guarantor,3.9346139973397096,car,46.823051952114774,bank,own,2.0,skilled,1.0,none,yes,bad
1637,<0,23.421833703709847,existing paid,new car,1285.9911422222117,no known savings,1<=X<4,4.0,female div/dep/mar,guarantor,4.0,life insurance,31.793512037039232,stores,own,1.0,skilled,1.0,none,yes,bad
1638,0<=X<200,15.0,existing paid,new car,2631.0,100<=X<500,1<=X<4,2.0,female div/dep/mar,none,4.0,car,28.0,stores,rent,2.0,skilled,1.0,yes,yes,bad
1639,>=200,21.0,critical/order existing credit,education,2319.0,<100,<1,2.0,male div/sep,none,1.0,car,33.0,stores,rent,1.0,skilled,1.0,none,yes,bad
1640,<0,41.1977360716882,all paid,domestic appliance,6854.802263928312,<100,<1,2.4777148908802276,male div/sep,none,2.433144672640683,life insurance,58.821719127041824,bank,own,1.4777148908802276,skilled,1.0,yes,yes,bad
1641,<0,18.01557014630188,existing paid,education,3114.1219661460314,<100,4<=X<7,1.0077850731509397,female div/dep/mar,none,3.994809951232707,life insurance,26.01297512191823,stores,rent,1.0,skilled,1.0,none,yes,bad
1642,0<=X<200,32.79492052759504,critical/order existing credit,furniture/equipment,4281.218751437232,500<=X<10000,1<=X<4,1.0410158944809917,female div/dep/mar,none,3.9863280351730026,car,23.232423402058952,stores,own,1.9863280351730026,high qualif/self emp/mgmt,1.0,none,yes,bad
1643,>=200,9.571685525059893,existing paid,new car,1320.992805298323,>=1000,1<=X<4,4.0,male single,guarantor,3.1433710501197845,car,29.998201324580755,stores,own,1.4283144749401078,skilled,1.0,none,yes,bad
1644,0<=X<200,24.0,delayed previously,furniture/equipment,2060.7075276758897,<100,>=7,2.7366022140711737,female div/dep/mar,none,1.8683011070355868,life insurance,32.419613284427044,stores,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
1645,0<=X<200,18.0,critical/order existing credit,furniture/equipment,1926.0733320481436,<100,<1,2.9633339759282307,male div/sep,none,2.4816669879641156,real estate,29.073332048143538,stores,own,1.5183330120358847,unemp/unskilled non res,1.0,none,yes,bad
1646,<0,30.0,existing paid,furniture/equipment,6350.0,no known savings,>=7,4.0,male single,none,4.0,life insurance,31.0,stores,own,1.0,skilled,1.0,none,yes,bad
1647,0<=X<200,36.0,delayed previously,repairs,9420.21801291951,<100,<1,1.0,male div/sep,none,3.6169308117326033,car,28.0,stores,own,1.1276897294224657,high qualif/self emp/mgmt,1.0,none,yes,bad
1648,no checking,48.0,existing paid,business,4844.0,<100,unemployed,3.0,male single,none,2.0,car,33.0,bank,rent,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
1649,<0,24.0,critical/order existing credit,furniture/equipment,3347.1595233640655,500<=X<10000,<1,4.0,male single,none,3.079761682032856,life insurance,34.14107243085215,stores,for free,1.0,high qualif/self emp/mgmt,1.539880841016428,yes,yes,bad
1650,no checking,10.0,existing paid,furniture/equipment,2210.0,<100,1<=X<4,2.0,male single,none,2.0,real estate,25.0,bank,rent,1.0,unskilled resident,1.0,none,yes,bad
1651,<0,18.0,existing paid,radio/tv,3190.0,<100,1<=X<4,2.0,female div/dep/mar,none,2.0,real estate,24.0,stores,own,1.0,skilled,1.0,none,yes,bad
1652,0<=X<200,12.392316015961741,existing paid,new car,1080.2999639308325,<100,1<=X<4,3.9346139973397096,male single,guarantor,3.9346139973397096,car,46.823051952114774,bank,own,2.0,skilled,1.0,none,yes,bad
1653,0<=X<200,28.140991533868643,existing paid,repairs,12513.434300713747,<100,4<=X<7,2.9647521165328397,male div/sep,none,2.6901652556447733,no known property,41.58442160524329,stores,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
1654,0<=X<200,12.0,existing paid,furniture/equipment,781.1898897931186,500<=X<10000,4<=X<7,4.0,male div/sep,none,3.523789303210986,life insurance,59.190739058257186,stores,own,1.0,skilled,1.0,none,yes,bad
1655,<0,24.0,delayed previously,new car,4870.0,<100,1<=X<4,3.0,male single,none,4.0,no known property,53.0,stores,for free,2.0,skilled,2.0,none,yes,bad
1656,0<=X<200,12.680297106296042,delayed previously,other,1479.2379202559277,>=1000,1<=X<4,2.22676570209868,male mar/wid,none,1.3401485531480204,no known property,25.793679957345383,stores,for free,1.11338285104934,skilled,1.11338285104934,none,yes,bad
1657,<0,36.0,existing paid,furniture/equipment,5179.0,<100,4<=X<7,4.0,male single,none,2.0,life insurance,29.0,stores,own,1.0,skilled,1.0,none,yes,bad
1658,<0,39.93165271331283,existing paid,other,3971.0573027681553,<100,4<=X<7,3.8522609080937733,male single,none,2.8522609080937733,car,35.62513001096849,stores,own,1.0,skilled,1.0,none,yes,bad
1659,<0,17.81191166384481,existing paid,furniture/equipment,1129.4639452547326,<100,>=7,4.0,female div/dep/mar,none,2.0626961120517304,car,33.47022084038798,bank,own,1.0313480560258652,skilled,1.0,none,yes,bad
1660,<0,18.0,existing paid,furniture/equipment,2462.0,<100,1<=X<4,2.0,male single,none,2.0,car,22.0,stores,own,1.0,skilled,1.0,none,yes,bad
1661,0<=X<200,18.0,critical/order existing credit,furniture/equipment,1928.0,<100,<1,2.0,male single,none,2.0,real estate,31.0,stores,own,2.0,unskilled resident,1.0,none,yes,bad
1662,<0,60.0,delayed previously,business,6836.0,<100,>=7,3.0,male single,none,4.0,no known property,63.0,stores,own,2.0,skilled,1.0,yes,yes,bad
1663,<0,24.0,existing paid,new car,1371.0,no known savings,1<=X<4,4.0,female div/dep/mar,none,4.0,real estate,25.0,stores,rent,1.0,skilled,1.0,none,yes,bad
1664,0<=X<200,24.0,existing paid,new car,1246.0,<100,<1,4.0,male single,none,2.0,real estate,23.0,,own,1.0,unskilled resident,1.0,none,yes,bad
1665,0<=X<200,43.750239950482495,critical/order existing credit,furniture/equipment,5125.39417367583,<100,1<=X<4,2.708293341586251,male div/sep,none,2.6458533292068744,car,29.645853329206876,stores,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,bad
1666,no checking,12.0,existing paid,furniture/equipment,1123.0,500<=X<10000,1<=X<4,4.0,female div/dep/mar,none,4.0,car,29.0,stores,rent,1.0,unskilled resident,1.0,none,yes,bad
1667,0<=X<200,18.0,critical/order existing credit,radio/tv,1245.0,<100,1<=X<4,4.0,male mar/wid,none,2.0,car,33.0,stores,own,1.0,skilled,1.0,none,yes,bad
1668,0<=X<200,45.543122869535516,delayed previously,new car,5965.434153141478,<100,1<=X<4,2.614219282616121,female div/dep/mar,none,2.3071096413080605,no known property,23.5355482065403,bank,own,1.0,skilled,1.0,none,yes,bad
1669,>=200,18.0,existing paid,furniture/equipment,2864.0,<100,1<=X<4,2.0,male single,none,1.0,real estate,34.0,stores,own,1.0,unskilled resident,2.0,none,yes,bad
1670,0<=X<200,45.0,existing paid,radio/tv,3031.0,100<=X<500,1<=X<4,4.0,male single,guarantor,4.0,life insurance,21.0,stores,rent,1.0,skilled,1.0,none,yes,bad
1671,>=200,12.0,all paid,business,609.0,<100,<1,4.0,female div/dep/mar,none,1.0,real estate,26.0,stores,own,1.0,unemp/unskilled non res,1.0,none,yes,bad
1672,<0,16.31623891578825,delayed previously,education,2579.479582101754,500<=X<10000,<1,4.0,male single,none,1.47958210175425,real estate,36.836656814034,bank,own,1.0,unskilled resident,2.0,none,yes,bad
1673,0<=X<200,31.603270511197568,critical/order existing credit,furniture/equipment,4266.10155211944,500<=X<10000,4<=X<7,2.396729488802431,female div/dep/mar,none,3.0688470074650462,car,25.327882481337383,stores,own,2.0,high qualif/self emp/mgmt,1.0,none,yes,bad
1674,0<=X<200,29.765552701108533,delayed previously,furniture/equipment,2149.492030852402,<100,1<=X<4,4.0,female div/dep/mar,guarantor,2.0390745498152443,no known property,24.0,bank,own,1.0195372749076221,skilled,1.0,none,yes,bad
1675,0<=X<200,40.1714305737922,delayed previously,furniture/equipment,4507.142882172402,<100,4<=X<7,2.3476192144826835,male div/sep,none,2.695238428965367,no known property,27.9142847131039,stores,for free,2.0,high qualif/self emp/mgmt,1.3476192144826835,none,yes,bad
1676,<0,14.863162317484083,existing paid,new car,903.5789528968551,no known savings,1<=X<4,4.0,male div/sep,none,2.0,car,24.43158115874204,bank,own,1.0,skilled,1.0,none,yes,bad
1677,0<=X<200,36.41698909476336,existing paid,other,3014.8743431477374,100<=X<500,1<=X<4,4.0,male mar/wid,guarantor,3.7399087604473746,life insurance,22.040364958210503,stores,rent,1.2600912395526254,skilled,1.0,none,yes,bad
1678,0<=X<200,60.0,all paid,other,14782.0,100<=X<500,>=7,3.0,female div/dep/mar,none,4.0,no known property,60.0,bank,for free,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
1679,<0,36.0,existing paid,furniture/equipment,5179.0,<100,4<=X<7,4.0,male single,none,2.0,life insurance,29.0,stores,own,1.0,skilled,1.0,none,yes,bad
1680,>=200,15.0,critical/order existing credit,radio/tv,1271.0,no known savings,1<=X<4,3.0,male single,none,4.0,no known property,39.0,stores,for free,2.0,skilled,1.0,yes,yes,bad
1681,no checking,12.0,critical/order existing credit,business,2292.0,<100,unemployed,4.0,male single,none,2.0,car,42.0,,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
1682,0<=X<200,29.491526050014638,existing paid,repairs,11960.881401651068,<100,4<=X<7,1.0,female div/dep/mar,none,1.254236974992681,life insurance,33.06779775836017,stores,own,1.0847456583308936,unemp/unskilled non res,1.0,none,yes,bad
1683,0<=X<200,18.0,critical/order existing credit,furniture/equipment,1926.0733320481436,<100,<1,2.9633339759282307,male div/sep,none,2.4816669879641156,real estate,29.073332048143538,stores,own,1.5183330120358847,unemp/unskilled non res,1.0,none,yes,bad
1684,0<=X<200,24.0,existing paid,new car,1246.0,<100,<1,4.0,male single,none,2.0,real estate,23.0,,own,1.0,unskilled resident,1.0,none,yes,bad
1685,<0,24.0,delayed previously,new car,1333.0,<100,unemployed,4.0,male single,none,2.0,real estate,43.0,stores,for free,2.0,skilled,2.0,none,yes,bad
1686,>=200,9.571685525059893,existing paid,new car,1320.992805298323,>=1000,1<=X<4,4.0,male single,guarantor,3.1433710501197845,car,29.998201324580755,stores,own,1.4283144749401078,skilled,1.0,none,yes,bad
1687,<0,12.0,existing paid,new car,1372.0,<100,4<=X<7,2.0,male div/sep,none,3.0,car,36.0,stores,own,1.0,skilled,1.0,none,yes,bad
1688,<0,42.5915375314803,existing paid,radio/tv,1843.99647397145,<100,1<=X<4,3.8996473971450123,male mar/wid,none,3.7992947942900246,no known property,23.200705205709976,stores,for free,1.1003526028549877,skilled,1.0,yes,yes,bad
1689,<0,24.0,all paid,radio/tv,1546.0,<100,4<=X<7,4.0,male single,guarantor,4.0,car,24.0,bank,rent,1.0,unskilled resident,1.0,none,yes,bad
1690,>=200,17.760551604221703,critical/order existing credit,radio/tv,1550.6795862968338,<100,<1,4.0,male single,guarantor,4.0,life insurance,40.11857502242727,bank,for free,1.5199540329815249,skilled,1.5199540329815249,none,yes,bad
1691,<0,49.67167906142227,critical/order existing credit,other,7434.509357075683,500<=X<10000,<1,4.0,female div/dep/mar,none,1.6557226353807422,life insurance,33.98404357395847,bank,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,bad
1692,<0,24.0,all paid,furniture/equipment,6872.0,<100,<1,2.0,male div/sep,none,1.0,life insurance,55.0,bank,own,1.0,skilled,1.0,yes,yes,bad
1693,<0,24.0,delayed previously,new car,1376.0133905485106,no known savings,1<=X<4,4.0,female div/dep/mar,none,2.216809106586491,car,36.08404553293246,stores,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,bad
1694,<0,25.06869970821959,delayed previously,business,1911.835455782496,<100,<1,4.0,male single,none,3.4520777453577325,no known property,58.05512730768712,stores,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,bad
1695,<0,24.0,existing paid,furniture/equipment,2996.0,no known savings,1<=X<4,2.0,male mar/wid,none,4.0,car,20.0,stores,own,1.0,skilled,1.0,none,yes,bad
1696,no checking,15.0,existing paid,education,4623.0,100<=X<500,1<=X<4,3.0,male single,none,2.0,life insurance,40.0,stores,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
1697,0<=X<200,27.95625258321456,existing paid,repairs,11848.806438574662,<100,4<=X<7,1.0,female div/dep/mar,none,2.02187370839272,life insurance,30.25312973589336,stores,own,1.34062456946424,skilled,1.0,none,yes,bad
1698,<0,18.01557014630188,existing paid,education,3114.1219661460314,<100,4<=X<7,1.0077850731509397,female div/dep/mar,none,3.994809951232707,life insurance,26.01297512191823,stores,rent,1.0,skilled,1.0,none,yes,bad
1699,0<=X<200,12.0,existing paid,repairs,639.0,<100,1<=X<4,4.0,male single,none,2.0,car,30.0,stores,own,1.0,skilled,1.0,none,yes,bad
1700,<0,36.0,delayed previously,other,9351.669141581086,<100,4<=X<7,2.4506655954250567,male single,none,1.6759983931375846,car,24.0,stores,own,1.2253327977125283,skilled,1.0,yes,yes,bad
1701,0<=X<200,14.37990961172551,critical/order existing credit,new car,1541.5363804371307,<100,4<=X<7,2.1899548058627554,male mar/wid,none,1.7933032039085037,life insurance,31.32968364103929,bank,own,1.0,skilled,1.0,none,yes,bad
1702,<0,15.551332432927707,delayed previously,education,2283.713557656502,100<=X<500,<1,3.408111261178716,male div/sep,none,2.591888738821284,car,33.71355765650202,stores,own,2.0,high qualif/self emp/mgmt,1.0,none,yes,bad
1703,<0,18.47252938080075,critical/order existing credit,new car,4857.563191106801,<100,4<=X<7,3.0,male single,guarantor,4.0,life insurance,48.39377448400062,stores,for free,2.0,skilled,1.5393774484000624,none,yes,bad
1704,0<=X<200,36.0,existing paid,education,12612.0,100<=X<500,1<=X<4,1.0,male single,none,4.0,no known property,47.0,stores,for free,1.0,skilled,2.0,yes,yes,bad
1705,0<=X<200,24.0,critical/order existing credit,furniture/equipment,4774.391565255875,<100,4<=X<7,2.0,male div/sep,guarantor,3.526030058569444,car,27.843819648583338,bank,own,1.0,unemp/unskilled non res,1.0,none,yes,bad
1706,<0,12.0,existing paid,furniture/equipment,1282.0,<100,1<=X<4,2.0,female div/dep/mar,none,4.0,car,20.0,stores,rent,1.0,skilled,1.0,none,yes,bad
1707,no checking,21.0,critical/order existing credit,new car,12680.0,no known savings,>=7,4.0,male single,none,4.0,no known property,30.0,stores,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
1708,0<=X<200,21.922174073463594,existing paid,new car,1351.536956789106,<100,4<=X<7,3.346304321089401,female div/dep/mar,none,3.653695678910599,life insurance,25.346304321089402,bank,own,1.0,unemp/unskilled non res,1.0,none,yes,bad
1709,0<=X<200,24.0,existing paid,furniture/equipment,4070.3264492941253,<100,4<=X<7,3.0,male div/sep,none,3.2514424395117985,car,37.97115120976403,bank,own,1.2514424395117985,skilled,1.2514424395117985,none,yes,bad
1710,<0,6.499706467171558,delayed previously,domestic appliance,461.4087902024368,<100,<1,4.0,female div/dep/mar,none,3.750146766414221,life insurance,23.249853233585778,stores,own,1.0,skilled,1.0,none,yes,bad
1711,0<=X<200,60.0,existing paid,education,6288.0,<100,1<=X<4,4.0,male single,none,4.0,no known property,42.0,stores,for free,1.0,skilled,1.0,none,yes,bad
1712,no checking,18.0,all paid,new car,6458.0,<100,>=7,2.0,male single,none,4.0,no known property,39.0,bank,own,2.0,high qualif/self emp/mgmt,2.0,yes,yes,bad
1713,<0,24.0,existing paid,new car,1285.0,no known savings,4<=X<7,4.0,female div/dep/mar,none,4.0,no known property,32.0,stores,rent,1.0,skilled,1.0,none,yes,bad
1714,<0,24.0,all paid,furniture/equipment,6872.0,<100,<1,2.0,male div/sep,none,1.0,life insurance,55.0,bank,own,1.0,skilled,1.0,yes,yes,bad
1715,>=200,15.95062073726073,critical/order existing credit,education,2162.168735790869,<100,1<=X<4,4.0,male div/sep,none,1.658436789543455,car,28.341563210456545,stores,for free,1.0,skilled,1.0,none,yes,bad
1716,<0,24.0,all paid,furniture/equipment,3349.0,500<=X<10000,<1,4.0,male single,none,4.0,no known property,30.0,stores,for free,1.0,skilled,2.0,yes,yes,bad
1717,0<=X<200,12.285269747949894,existing paid,furniture/equipment,1228.0009335293053,<100,1<=X<4,3.4285269747949894,female div/dep/mar,none,3.5714730252050106,life insurance,23.57147302520501,stores,own,1.0,skilled,1.0,none,yes,bad
1718,<0,17.81191166384481,existing paid,furniture/equipment,1129.4639452547326,<100,>=7,4.0,female div/dep/mar,none,2.0626961120517304,car,33.47022084038798,bank,own,1.0313480560258652,skilled,1.0,none,yes,bad
1719,0<=X<200,43.750239950482495,critical/order existing credit,furniture/equipment,5125.39417367583,<100,1<=X<4,2.708293341586251,male div/sep,none,2.6458533292068744,car,29.645853329206876,stores,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,bad
1720,<0,11.660640192208868,critical/order existing credit,furniture/equipment,2239.89152345976,<100,<1,2.8303200961044346,male single,none,2.8303200961044346,life insurance,54.06120336365521,bank,own,1.8303200961044346,skilled,1.0,none,yes,bad
1721,0<=X<200,17.17102237001103,delayed previously,other,1331.8618370616684,<100,<1,2.8618370616685045,male single,none,1.4309185308342522,life insurance,31.0492891475193,stores,for free,1.4309185308342522,skilled,1.4309185308342522,none,yes,bad
1722,0<=X<200,24.0,existing paid,new car,1355.0,<100,<1,3.0,female div/dep/mar,none,4.0,car,25.0,stores,own,1.0,unskilled resident,1.0,yes,yes,bad
1723,0<=X<200,9.0,all paid,used car,5129.0,<100,>=7,2.0,female div/dep/mar,none,4.0,no known property,74.0,bank,for free,1.0,high qualif/self emp/mgmt,2.0,yes,yes,bad
1724,0<=X<200,11.826408306726877,existing paid,radio/tv,1109.620189137216,<100,4<=X<7,4.0,male single,none,3.0,no known property,28.23145559103083,stores,for free,2.0,skilled,1.0578638977577075,none,yes,bad
1725,0<=X<200,48.0,no credits/all paid,business,14421.0,<100,1<=X<4,2.0,male single,none,2.0,car,25.0,stores,own,1.0,skilled,1.0,yes,yes,bad
1726,0<=X<200,24.0,existing paid,new car,2718.0,<100,1<=X<4,3.0,female div/dep/mar,none,4.0,life insurance,20.0,stores,rent,1.0,unskilled resident,1.0,yes,yes,bad
1727,<0,24.0,existing paid,radio/tv,1987.0,<100,1<=X<4,2.0,male single,none,4.0,real estate,21.0,stores,rent,1.0,unskilled resident,2.0,none,yes,bad
1728,no checking,21.0,no credits/all paid,new car,5003.0,no known savings,1<=X<4,1.0,female div/dep/mar,none,4.0,life insurance,29.0,bank,own,2.0,skilled,1.0,yes,yes,bad
1729,<0,27.963030348229182,existing paid,furniture/equipment,3346.321010116076,<100,<1,4.0,male mar/wid,none,2.0,car,35.367222180789916,stores,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
1730,0<=X<200,36.0,delayed previously,business,4455.0,<100,1<=X<4,2.0,male div/sep,none,2.0,real estate,30.0,,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
1731,0<=X<200,48.798764303046205,delayed previously,education,6228.260076282913,<100,<1,4.0,male single,none,4.0,no known property,49.467490464635866,stores,for free,1.0,skilled,1.0,none,yes,bad
1732,<0,21.142466975605014,delayed previously,new car,4663.4162318386325,<100,<1,2.1648051519696168,male div/sep,none,3.2234632320202556,life insurance,29.282121312070895,stores,own,1.3882683839898722,skilled,1.0,none,yes,bad
1733,0<=X<200,24.0,existing paid,new car,1246.0,<100,<1,4.0,male single,none,2.0,real estate,23.0,,own,1.0,unskilled resident,1.0,none,yes,bad
1734,<0,18.0,existing paid,furniture/equipment,2462.0,<100,1<=X<4,2.0,male single,none,2.0,car,22.0,stores,own,1.0,skilled,1.0,none,yes,bad
1735,0<=X<200,9.0,existing paid,radio/tv,1670.0,<100,<1,4.0,female div/dep/mar,none,2.0,car,22.0,stores,own,1.0,skilled,1.0,yes,yes,bad
1736,<0,38.1433300724975,critical/order existing credit,domestic appliance,4290.257994130496,500<=X<10000,1<=X<4,1.6857773429996663,female div/dep/mar,none,4.0,car,23.342888671499832,stores,own,1.6571113285001668,skilled,1.0,none,yes,bad
1737,<0,24.0,delayed previously,furniture/equipment,3124.6492297653303,<100,4<=X<7,4.0,female div/dep/mar,none,1.0434007832981727,life insurance,27.173603133192692,stores,own,1.0,skilled,1.0,none,yes,bad
1738,0<=X<200,21.048242591791674,critical/order existing credit,other,2543.4102458056195,500<=X<10000,1<=X<4,4.0,male single,none,1.6032161727861116,life insurance,26.967838272138884,stores,own,1.6032161727861116,unskilled resident,1.3967838272138884,none,yes,bad
1739,0<=X<200,36.0,existing paid,radio/tv,2671.0,100<=X<500,1<=X<4,4.0,female div/dep/mar,co applicant,4.0,no known property,50.0,stores,for free,1.0,skilled,1.0,none,yes,bad
1740,0<=X<200,21.49043050705783,all paid,radio/tv,1543.490430507058,<100,4<=X<7,3.3726076267644576,male mar/wid,guarantor,3.3726076267644576,car,23.790869208921485,bank,rent,1.0,unemp/unskilled non res,1.0,none,yes,bad
1741,0<=X<200,24.0,existing paid,new car,1246.0,<100,<1,4.0,male single,none,2.0,real estate,23.0,,own,1.0,unskilled resident,1.0,none,yes,bad
1742,<0,21.310169211077937,existing paid,radio/tv,1833.7593231556882,<100,1<=X<4,3.1033897370259793,female div/dep/mar,none,2.0,no known property,25.516948685129897,stores,own,1.8966102629740207,high qualif/self emp/mgmt,1.1033897370259793,none,yes,bad
1743,0<=X<200,12.0,existing paid,furniture/equipment,2762.0,no known savings,>=7,1.0,female div/dep/mar,none,2.0,life insurance,25.0,bank,own,1.0,skilled,1.0,yes,yes,bad
1744,no checking,9.0,existing paid,furniture/equipment,1980.0,<100,<1,2.0,female div/dep/mar,co applicant,2.0,car,19.0,stores,rent,2.0,skilled,1.0,none,yes,bad
1745,<0,12.0,no credits/all paid,new car,1082.0,<100,1<=X<4,4.0,male single,none,4.0,car,48.0,bank,own,2.0,skilled,1.0,none,yes,bad
1746,<0,24.0,all paid,radio/tv,1546.0,<100,4<=X<7,4.0,male single,guarantor,4.0,car,24.0,bank,rent,1.0,unskilled resident,1.0,none,yes,bad
1747,no checking,18.0,existing paid,new car,6761.0,no known savings,1<=X<4,2.0,male single,none,4.0,car,68.0,stores,rent,2.0,skilled,1.0,none,yes,bad
1748,0<=X<200,18.947861549928113,delayed previously,new car,1039.1564153502156,>=1000,1<=X<4,4.0,female div/dep/mar,none,2.3159538499760375,life insurance,35.36965387482028,stores,own,1.0,skilled,1.0,none,yes,bad
1749,0<=X<200,24.0,existing paid,radio/tv,3092.0,100<=X<500,<1,3.0,male mar/wid,none,2.0,car,22.0,stores,rent,1.0,skilled,1.0,yes,yes,bad
1750,no checking,36.0,existing paid,education,1819.0,<100,1<=X<4,4.0,male single,none,4.0,no known property,37.0,,for free,1.0,skilled,1.0,yes,yes,bad
